,Tweet,Target,Stance,Opinion Towards,Sentiment
579,hate love end day judge #god #semst #love,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
580,yes islam mother load bad idea christianity far behind #semst #athiest,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
581,sometimes thing fall apart big opportunity change #semst #awareness #consciousness,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
582,listen inspirational speech bonya ahmed #intellectualthursday #semst #bhsvoltaire #fightthepower,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
583,receive lovingkindness every morning #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
584,connection allow create good live #god #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
585,still patient watch let god work #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
586,feel ancient root look around everything brother sister #spirituality #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
587,serious question atheist libertarian right exist without god #christianlibertarian #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
588,get good bite tongue totally brainwash xtian family tire annoying time #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
589,bind rebuke angel light name jesus cor #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
590,tomorrow promise one cherish people place life today #god #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
591,give day daily bread forgive sin forgive sin #rosary #teamjesus #god #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
592,religion proud evidence one make story #semst #freethinker,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
593,guy know hang wrong people like care reputation #semst,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
594,enough live outdated guideline suppression insecurity capable making well inform decision #semst,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
595,folly deny religious impulse consider marxism reliance prophet holy book promise future heaven #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
596,think year would find least one person want tell thing nope #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
597,impress nice tunisians impress religion major cause much heartache death #semst #remembertunisia,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
598,matter go matter become #process #semst #priorities,Atheism,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
599,order play loud temple come order mosque keep thr rant quite #suprabatha #semst #kukkesubramanya #ibrahim,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
600,great act faith day simply get face another day #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
601,romans powerful need patient weakness power please ceb #semst,Atheism,AGAINST,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
602,mortal high maintenance whiny ass little bitch #fsm #singlebecause #earthshatteringmicdrop #semst,Atheism,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
603,happy july weekend remember justice liberty less tribal inclusive #4thofjuly #semst #actorslife #america,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
604,thekurtcarr nobody like god great power #semst #gospelbeat,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
605,child religiously indoctrinate reach age reason live completely different world #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
606,nothing nothing less #spirituality #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
607,tell secret know god much loves love tell world love #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
608,amazed real unicorn among #semst #narwhals,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
609,see independence oppression england free oppression #religion! #4thjuly #july4th #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
610,thy kingdom come thy earth heaven matthew #semst #comequickly,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
611,say tht fast name god superstition fast ramadan mecca #semst #pk,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
612,atheistq man never commit evil fully joyfully religious conviction blaise pascal #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
613,deny really happen #semst,Climate Change is a Real Concern,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other
614,timeline short strategy must place climate change conference paris december #semst #ableg,Climate Change is a Real Concern,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
